geoid,county,type,source,as_of,filing_announced
45083023602,Spartanburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45085001100,Sumter,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45085001300,Sumter,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45087030200,Union,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45087030402,Union,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45089970300,Williamsburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45089970601,Williamsburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45091060501,York,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45091061601,York,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45091061602,York,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
