market,state,county,geoid,place_or_corridor,rural,status,lat,lon,notes
Atlanta,Georgia,DeKalb,13089021308,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8758205,-84.2857255,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021309,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8994517,-84.2637412,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021310,DeKalb County urban-eligible tract,N,Eligible — not designated,33.9058056,-84.2548256,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021409,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8610663,-84.2957708,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021417,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8396707,-84.3342163,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021418,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8503343,-84.3169899,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021419,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8449479,-84.3198514,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021420,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8486575,-84.3264832,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021505,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8093253,-84.3268623,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021815,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8959662,-84.232235,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021824,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8443272,-84.2067887,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021906,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7979856,-84.1769228,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021908,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7993171,-84.1882975,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021911,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8177366,-84.1907575,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021913,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8265565,-84.1835182,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021914,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8002075,-84.1601884,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089021917,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7941119,-84.2012445,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022005,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7912072,-84.2330492,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022007,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8103091,-84.246668,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
